time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-06-20 09:30:00-04:00,BTMMStrategy,359f204a9f704f86bd35c5ca2721e4a3,USDJPY=X,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-20 09:30:00-04:00,BTMMStrategy,359f204a9f704f86bd35c5ca2721e4a3,USDJPY=X,buy,market,fill,1,gtc,0.0,1,stock,141.3350067138672,707.0,0.0
2023-06-22 09:30:00-04:00,BTMMStrategy,68ca2a0edd1c4aa0be530f241febb922,USDJPY=X,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-22 09:30:00-04:00,BTMMStrategy,52b13a0fc0d0451ab70277675dbda6ef,USDJPY=X,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-22 09:30:00-04:00,BTMMStrategy,ff161a5259cf4be0b1a0084c7171e486,USDJPY=X,sell,market,new,1,day,0.0,1,stock,,,
2023-06-22 09:30:00-04:00,BTMMStrategy,7386bd6037ea472c945a9768b397aa06,USDJPY=X,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-22 09:30:00-04:00,BTMMStrategy,ff161a5259cf4be0b1a0084c7171e486,USDJPY=X,sell,market,fill,1,day,0.0,1,stock,143.02999877929688,707.0,0.0
2023-06-22 09:30:00-04:00,BTMMStrategy,7386bd6037ea472c945a9768b397aa06,USDJPY=X,sell,market,fill,1,gtc,0.0,1,stock,143.02999877929688,532.0,0.0
2023-06-23 09:30:00-04:00,BTMMStrategy,dec21c915c444e81b810c91bd538742c,USDJPY=X,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-23 09:30:00-04:00,BTMMStrategy,dec21c915c444e81b810c91bd538742c,USDJPY=X,sell,market,fill,1,gtc,0.0,1,stock,143.02999877929688,1239532.0,0.0
2023-06-26 09:30:00-04:00,BTMMStrategy,f21cdc7941c94bdb98c8c3ae0f6a3573,USDJPY=X,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-26 09:30:00-04:00,BTMMStrategy,f21cdc7941c94bdb98c8c3ae0f6a3573,USDJPY=X,sell,market,fill,1,gtc,0.0,1,stock,143.4600067138672,1237052436.0,0.0
2023-06-27 09:30:00-04:00,BTMMStrategy,e3f5738447ab4abda9ccfcdfc9690563,USDJPY=X,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-27 09:30:00-04:00,BTMMStrategy,e3f5738447ab4abda9ccfcdfc9690563,USDJPY=X,sell,market,fill,1,gtc,0.0,1,stock,143.8820037841797,1234657661504.0,0.0
2023-06-28 09:30:00-04:00,BTMMStrategy,68adaab61cf941ac9b42044dfa57fbe3,USDJPY=X,sell,market,new,1,gtc,0.0,1,stock,,,
