Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,70.0%,52.0%
,,
Total Return,12%,"81,923%"
CAGR% (Annual Return),31.8%,1374575107.52%
,,
Sharpe,2.02,-1.71
RoMaD,5.94,804915.79
Corr to Benchmark,1.0,-0.17
Prob. Sharpe Ratio,82.66%,0.59%
Smart Sharpe,1.98,-1.67
Sortino,3.19,-1.8
Smart Sortino,3.12,-1.76
Sortino/√2,2.25,-1.27
Smart Sortino/√2,2.21,-1.25
Omega,0.37,0.37
,,
Max Drawdown,-5.35%,-1707.73%
Longest DD Days,47,34
Volatility (ann.),11.37%,3125.33%
R^2,0.03,0.03
Information Ratio,-0.09,-0.09
Calmar,5.94,804915.79
Skew,0.06,-7.7
Kurtosis,1.21,80.21
,,
Expected Daily%,0.08%,4.57%
Expected Monthly%,2.28%,282.64%
Expected Yearly%,11.93%,81923.31%
Daily Value-at-Risk,-0.9%,-283.68%
Expected Shortfall (cVaR),-0.9%,-283.68%
,,
MTD,5.06%,642.24%
3M,4.5%,1249.05%
6M,11.93%,81923.31%
YTD,11.93%,81923.31%
1Y,11.93%,81923.31%
3Y (ann.),31.8%,1374575107.52%
5Y (ann.),31.8%,1374575107.52%
10Y (ann.),31.8%,1374575107.52%
All-time (ann.),31.8%,1374575107.52%
,,
Best Day,2.07%,593.71%
Worst Day,-1.63%,-1707.73%
Best Month,5.22%,3405.44%
Worst Month,-3.86%,18.39%
Best Year,11.93%,81923.31%
Worst Year,11.93%,81923.31%
,,
Avg. Drawdown,-1.01%,-173.06%
Avg. Drawdown Days,7,8
Recovery Factor,2.16,1.28
Ulcer Index,0.02,2.74
Serenity Index,0.82,-2.61
,,
Avg. Up Month,3.88%,1032.06%
Avg. Down Month,-,-
Win Days,83.65,84.62
Loss Days,66.35,65.38
Win Days%,55.77%,56.41%
Win Month%,80.0%,100.0%
Win Quarter%,100.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,-46.59
Alpha,-,-40.22
Correlation,-,-16.95%
Treynor Ratio,-,-1758.29%
