Metric,SPY,Strategy
Risk-Free Rate,5.22%,5.22%
Time in Market,70.0%,25.0%
,,
Total Return,12%,"-2,053,937%"
CAGR% (Annual Return),31.8%,3667242631808.38%
,,
Sharpe,2.02,1.47
RoMaD,5.94,752520809.99
Corr to Benchmark,1.0,0.1
Prob. Sharpe Ratio,82.75%,71.87%
Smart Sharpe,2.01,1.46
Sortino,3.19,33.95
Smart Sortino,3.17,33.67
Sortino/√2,2.26,24.0
Smart Sortino/√2,2.24,23.81
Omega,12.23,12.23
,,
Max Drawdown,-5.35%,-4873.28%
Longest DD Days,47,113
Volatility (ann.),11.37%,83785.76%
R^2,0.01,0.01
Information Ratio,0.08,0.08
Calmar,5.94,752520809.99
Skew,0.06,12.21
Kurtosis,1.21,149.37
,,
Expected Daily%,0.08%,-
Expected Monthly%,2.28%,-
Expected Yearly%,11.93%,-2053937.35%
Daily Value-at-Risk,-0.9%,-6875.09%
Expected Shortfall (cVaR),-0.9%,-6875.09%
,,
MTD,5.06%,0.0%
3M,4.5%,0.0%
6M,11.93%,-2053937.35%
YTD,11.93%,-2053937.35%
1Y,11.93%,-2053937.35%
3Y (ann.),31.8%,3667242631808.38%
5Y (ann.),31.8%,3667242631808.38%
10Y (ann.),31.8%,3667242631808.38%
All-time (ann.),31.8%,3667242631808.38%
,,
Best Day,2.07%,53637.4%
Worst Day,-1.63%,-1630.66%
Best Month,5.22%,2025.12%
Worst Month,-3.86%,-96745.75%
Best Year,11.93%,-2053937.35%
Worst Year,11.93%,-2053937.35%
,,
Avg. Drawdown,-1.01%,-1342.72%
Avg. Drawdown Days,6,27
Recovery Factor,2.16,10.42
Ulcer Index,0.02,40.16
Serenity Index,0.84,8.01
,,
Avg. Up Month,2.16%,2025.12%
Avg. Down Month,-,-
Win Days,83.65,72.97
Loss Days,66.35,77.03
Win Days%,55.77%,48.65%
Win Month%,80.0%,50.0%
Win Quarter%,100.0%,0.0%
Win Year%,100.0%,0.0%
,,
Beta,-,729.22
Alpha,-,1030.78
Correlation,-,9.9%
Treynor Ratio,-,-2816.64%
