time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-02 09:30:00-05:00,BTMMStrategy,e26a7726f4954463b8d8351ededba832,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 09:30:00-05:00,BTMMStrategy,e26a7726f4954463b8d8351ededba832,AAPL,buy,market,fill,1,gtc,0.0,1,stock,187.14999389648438,534331.0,0.0
2024-01-30 09:30:00-05:00,BTMMStrategy,c63015ce673c4d53a0c941a827d08bbe,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-01-30 09:30:00-05:00,BTMMStrategy,44219992aae14734adc39eebac262317,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-01-30 09:30:00-05:00,BTMMStrategy,8f61cf04f9b148a4935b9375f319d43d,AAPL,sell,market,new,1,day,0.0,1,stock,,,
2024-01-30 09:30:00-05:00,BTMMStrategy,d2ed13f314a14339b0922f463f78fbf2,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-30 09:30:00-05:00,BTMMStrategy,8f61cf04f9b148a4935b9375f319d43d,AAPL,sell,market,fill,1,day,0.0,1,stock,190.94000244140625,534331.0,0.0
2024-01-31 09:30:00-05:00,BTMMStrategy,d2ed13f314a14339b0922f463f78fbf2,AAPL,sell,market,canceled,1,gtc,0.0,1,stock,,,0.0
2024-01-31 09:30:00-05:00,BTMMStrategy,2d620f72311542ceb7cffff5259c81d4,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2024-01-31 09:30:00-05:00,BTMMStrategy,bbf69e6b741a40399f58d917f351dbb3,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-01-31 09:30:00-05:00,BTMMStrategy,ac2d6a1ae58648ef919941e747db545c,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-31 09:30:00-05:00,BTMMStrategy,ac2d6a1ae58648ef919941e747db545c,AAPL,buy,market,fill,1,gtc,0.0,1,stock,187.0399932861328,11361843.0,0.0
2024-02-07 09:30:00-05:00,BTMMStrategy,1a88e742829846a4afc091e9cf394812,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-02-07 09:30:00-05:00,BTMMStrategy,921dd00b4edd4264be2ad844c5c28f58,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-02-07 09:30:00-05:00,BTMMStrategy,0358e45b1537413d8dd0c61c9138a97f,AAPL,sell,market,new,1,day,0.0,1,stock,,,
2024-02-07 09:30:00-05:00,BTMMStrategy,6d6dfec36d1f4425a46de3403b85a091,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2024-02-07 09:30:00-05:00,BTMMStrategy,0358e45b1537413d8dd0c61c9138a97f,AAPL,sell,market,fill,1,day,0.0,1,stock,190.63999938964844,11361843.0,0.0
2024-02-08 09:30:00-05:00,BTMMStrategy,6d6dfec36d1f4425a46de3403b85a091,AAPL,sell,market,canceled,1,gtc,0.0,1,stock,,,0.0
