time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-02 09:30:00-05:00,BTMMStrategy,c988b07f9f514c80a75657aec03ef5b8,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 09:30:00-05:00,BTMMStrategy,c988b07f9f514c80a75657aec03ef5b8,AAPL,buy,market,fill,1,gtc,0.0,1,stock,187.14999389648438,534331.0,0.0
2024-01-30 09:30:00-05:00,BTMMStrategy,dce40612cd42434189f52d088f321e09,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-01-30 09:30:00-05:00,BTMMStrategy,7a815ead0dab4f1589ad0ace38735eda,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-01-30 09:30:00-05:00,BTMMStrategy,46aff4e3fc434116b6f1a9558b09e317,AAPL,sell,market,new,1,day,0.0,1,stock,,,
2024-01-30 09:30:00-05:00,BTMMStrategy,87155c256b0a41c3be365ea0926d96a5,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-30 09:30:00-05:00,BTMMStrategy,46aff4e3fc434116b6f1a9558b09e317,AAPL,sell,market,fill,1,day,0.0,1,stock,190.94000244140625,534331.0,0.0
2024-01-31 09:30:00-05:00,BTMMStrategy,87155c256b0a41c3be365ea0926d96a5,AAPL,sell,market,canceled,1,gtc,0.0,1,stock,,,0.0
2024-01-31 09:30:00-05:00,BTMMStrategy,53623487c81e4b17b309ffbf24ac9d03,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2024-01-31 09:30:00-05:00,BTMMStrategy,ee736efe33014d9bb5ae0f836a60b51f,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-01-31 09:30:00-05:00,BTMMStrategy,69e177846e2144dbbb703d10039e567d,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-31 09:30:00-05:00,BTMMStrategy,69e177846e2144dbbb703d10039e567d,AAPL,buy,market,fill,1,gtc,0.0,1,stock,187.0399932861328,11361843.0,0.0
2024-02-07 09:30:00-05:00,BTMMStrategy,0703cc461f844f39852eb47ead1fe9fa,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-02-07 09:30:00-05:00,BTMMStrategy,ad30643f0ba44aed89dcb1e757aaad31,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-02-07 09:30:00-05:00,BTMMStrategy,37bd5a7ea45c406ebb0212947a81f590,AAPL,sell,market,new,1,day,0.0,1,stock,,,
2024-02-07 09:30:00-05:00,BTMMStrategy,64b0ebb8e23b4d718e659c7205650a64,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2024-02-07 09:30:00-05:00,BTMMStrategy,37bd5a7ea45c406ebb0212947a81f590,AAPL,sell,market,fill,1,day,0.0,1,stock,190.63999938964844,11361843.0,0.0
2024-02-08 09:30:00-05:00,BTMMStrategy,64b0ebb8e23b4d718e659c7205650a64,AAPL,sell,market,canceled,1,gtc,0.0,1,stock,,,0.0
2024-02-08 09:30:00-05:00,BTMMStrategy,fd0a435061b84e30b1941435f92cd0a2,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2024-02-08 09:30:00-05:00,BTMMStrategy,4c96500f1d4847dd8b985481dcd52cf7,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-02-08 09:30:00-05:00,BTMMStrategy,a9d746eed7274c9486c7ca76042e5dcd,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-02-08 09:30:00-05:00,BTMMStrategy,a9d746eed7274c9486c7ca76042e5dcd,AAPL,buy,market,fill,1,gtc,0.0,1,stock,189.38999938964844,227191633.0,0.0
2024-02-27 09:30:00-05:00,BTMMStrategy,bbe8b8d5d6fd4345a280d74838d2ec44,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-02-27 09:30:00-05:00,BTMMStrategy,8ee9d13ee76a45caab5ee002b9795224,AAPL,sell,stop,fill,1,day,0.0,1,stock,179.920499420166,227191633.0,0.0
2024-02-28 09:30:00-05:00,BTMMStrategy,86febfaeae59421b9af345760c370670,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-02-29 09:30:00-05:00,BTMMStrategy,f54d20904d68477ab01c92800cf80432,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-01 09:30:00-05:00,BTMMStrategy,13f50a9242fe418ab7b6b51cebb9eeab,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-04 09:30:00-05:00,BTMMStrategy,bf8fbb8692c1468698b159e0c0c4e1d0,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-05 09:30:00-05:00,BTMMStrategy,e11b67a534564fe78b489c75d789eedd,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-05 09:30:00-05:00,BTMMStrategy,cdd73634a6224b879c318c6735055fbf,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-03-05 09:30:00-05:00,BTMMStrategy,5af3cfd1627c46c0a29a419c5574a9f0,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-03-05 09:30:00-05:00,BTMMStrategy,51ece43066f24b89822b7490760b7966,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
