Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,70.0%,62.0%
,,
Total Return,12%,-2%
CAGR% (Annual Return),31.8%,-4.38%
,,
Sharpe,2.02,-0.37
RoMaD,5.94,-0.34
Corr to Benchmark,1.0,-0.18
Prob. Sharpe Ratio,82.66%,23.68%
Smart Sharpe,1.74,-0.32
Sortino,3.19,-0.5
Smart Sortino,2.75,-0.43
Sortino/√2,2.25,-0.35
Smart Sortino/√2,1.94,-0.31
Omega,0.93,0.93
,,
Max Drawdown,-5.35%,-12.8%
Longest DD Days,47,39
Volatility (ann.),11.37%,20.26%
R^2,0.03,0.03
Information Ratio,-0.06,-0.06
Calmar,5.94,-0.34
Skew,0.06,-0.25
Kurtosis,1.21,13.35
,,
Expected Daily%,0.08%,-0.01%
Expected Monthly%,2.28%,-0.37%
Expected Yearly%,11.93%,-1.81%
Daily Value-at-Risk,-0.9%,-1.75%
Expected Shortfall (cVaR),-0.9%,-1.75%
,,
MTD,5.06%,-11.26%
3M,4.5%,-6.21%
6M,11.93%,-1.81%
YTD,11.93%,-1.81%
1Y,11.93%,-1.81%
3Y (ann.),31.8%,-4.38%
5Y (ann.),31.8%,-4.38%
10Y (ann.),31.8%,-4.38%
All-time (ann.),31.8%,-4.38%
,,
Best Day,2.07%,6.03%
Worst Day,-1.63%,-5.96%
Best Month,5.22%,5.34%
Worst Month,-3.86%,-11.26%
Best Year,11.93%,-1.81%
Worst Year,11.93%,-1.81%
,,
Avg. Drawdown,-1.01%,-2.16%
Avg. Drawdown Days,7,9
Recovery Factor,2.16,0.08
Ulcer Index,0.02,0.04
Serenity Index,0.82,-0.2
,,
Avg. Up Month,3.49%,3.51%
Avg. Down Month,-3.86%,-0.21%
Win Days,83.65,79.03
Loss Days,66.35,70.97
Win Days%,55.77%,52.69%
Win Month%,80.0%,60.0%
Win Quarter%,100.0%,50.0%
Win Year%,100.0%,0.0%
,,
Beta,-,-0.32
Alpha,-,0.07
Correlation,-,-17.87%
Treynor Ratio,-,22.16%
